"App Name","Location","Source"
"",,"Registry"
"4K Video Downloader 4.4","","Registry"
"4K Video to MP3 2.4","","Registry"
"581.80-desktop-win10-win11-64bit-international-dch-whql","D:\Misc\NVIDA","Deep Scan (D:)"
"7z2407","D:\Downloads","Deep Scan (D:)"
"7z2407-x64","D:\Downloads","Deep Scan (D:)"
"7-Zip 24.07 (x64)","C:\Program Files\7-Zip\","Registry"
"absolute_pose_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"accelerate","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"AccelerateACheck","D:\Misc\Acrok Video Converter Ultimate\Bin","Deep Scan (D:)"
"accelerate-config","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"accelerate-estimate-memory","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"accelerate-launch","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"accelerate-merge-weights","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"ACCICONS","D:\New folder\Office16","Deep Scan (D:)"
"Acer Care Center","C:\Program Files (x86)\Acer\Care Center\","Registry"
"Acer Configuration Manager","","Registry"
"Acer UEIP Framework","C:\Program Files\Acer\User Experience Improvement Program\Framework\","Registry"
"Acrok Video Converter Ultimate Ver 6.4.101.1149","D:\Misc\Acrok Video Converter Ultimate\","Registry"
"ActionCamMovieCreator","D:\PlayMemories Home","Deep Scan (D:)"
"adb","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"Adobe Creative Cloud",,"Registry"
"Adobe Creative Suite 6 Master Collection","D:\Misc\Adobe CS6","Registry"
"Adobe Extension Manager CS6","D:\Misc\Adobe CS6\Adobe Extension Manager CS6","Deep Scan (D:)"
"Adobe3DAndVideoServer","D:\Misc\Adobe CS6\Adobe Bridge CS6","Deep Scan (D:)"
"AdobeCreativeCloudCleanerTool","D:\Downloads","Deep Scan (D:)"
"affine_transform_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"AirServ","D:\Misc\IOT\AirTrans","Deep Scan (D:)"
